severity,source_ip_reputation,alert_frequency,bytes_transferred,hour_of_day,is_admin_account,failed_logins_last_hour,alert_type_encoded,label
3,76,95,2058602,0,0,5,0,1
2,69,25,3874949,5,0,28,4,0
2,93,17,9848845,23,0,29,1,1
1,78,42,2068762,22,0,12,0,0
2,50,29,305957,21,1,29,0,0
1,52,60,8554243,2,0,11,4,0
2,14,67,4073273,13,0,9,2,0
2,49,85,2543833,22,0,38,4,0
1,70,57,7413755,5,0,9,4,0
2,74,72,6352776,7,0,17,0,0
1,37,14,4489072,19,0,5,2,0
1,39,39,5508750,14,0,7,2,0
3,65,16,9141220,16,1,19,3,1
2,38,18,6521091,22,1,40,4,0
1,73,95,8570073,8,1,15,4,0
2,16,75,2754355,15,0,1,2,0
3,6,20,6084241,0,0,10,2,0
1,38,46,9109428,15,0,23,2,0
2,67,45,8140218,18,0,18,0,0
1,34,4,3141730,22,0,3,0,0
1,50,84,684213,8,0,2,0,0
2,46,95,4131048,16,0,14,4,0
2,35,20,7300027,5,1,39,2,0
2,63,11,95324,13,0,3,0,0
3,94,65,8877571,17,0,42,3,1
4,88,18,205908,20,0,16,2,0
2,12,39,2421414,13,1,8,2,0
2,17,44,8315260,22,1,24,2,0
3,20,97,6489319,6,0,0,0,0
1,64,18,3401978,9,0,39,1,0
2,99,47,2980948,15,0,1,3,0
1,7,31,6506106,6,0,44,3,0
1,47,99,8997464,19,0,32,1,0
4,84,39,3354486,5,0,21,3,1
3,42,38,3804459,5,0,41,0,0
3,52,79,1173036,6,0,11,2,0
2,84,47,8573692,21,0,26,1,0
1,26,70,2362228,16,0,10,2,0
1,18,8,938974,7,0,41,3,0
1,22,86,9446962,1,0,13,4,0
2,49,65,665664,18,0,13,3,0
3,50,13,7282615,20,0,39,3,0
3,42,55,6011101,21,0,42,1,0
1,98,88,5107367,6,1,21,2,1
4,50,85,4702226,11,0,8,1,0
3,68,43,9027543,19,1,14,0,1
2,40,4,8431274,2,0,32,2,0
2,71,71,3293598,3,0,18,0,0
2,10,60,9251343,10,0,30,0,0
1,79,12,1311823,11,0,17,1,0
2,87,59,7263003,18,0,11,3,0
3,84,77,976546,18,0,39,4,1
1,51,54,3482042,10,0,36,3,0
1,22,44,2857224,12,0,44,3,0
1,48,16,381577,23,0,48,2,0
1,37,6,6484476,0,1,0,1,0
3,46,14,7961900,5,0,33,2,0
3,71,58,9785809,21,1,6,4,0
2,6,31,6482284,15,0,1,1,0
1,65,41,2613228,1,0,21,3,0
2,93,35,7320974,13,1,3,0,0
2,76,10,3934749,23,0,44,3,0
1,61,81,8922591,22,0,45,3,0
2,86,30,8600743,17,0,19,1,0
2,28,44,2889306,16,0,2,3,0
2,37,55,6534234,19,0,8,4,0
2,100,71,8782665,17,0,17,3,0
1,83,18,9062699,18,1,15,0,1
2,32,83,2484397,14,0,8,1,0
2,28,79,5799284,1,0,18,4,0
2,78,86,4759575,3,0,5,1,0
3,22,39,8418010,0,1,43,0,1
3,2,42,1895584,7,0,14,2,0
1,100,54,5518932,19,1,5,4,0
1,92,30,5236880,13,0,4,0,0
2,44,20,7902718,10,0,28,2,0
1,7,96,6274590,23,0,45,0,0
2,85,42,674698,23,1,26,2,1
4,28,89,5905627,13,0,49,2,0
2,1,87,1205823,15,0,44,1,0
2,49,5,7370827,9,0,40,3,0
2,64,50,3647106,6,0,25,3,0
2,19,41,1441640,15,0,27,0,0
2,51,94,8130265,3,1,31,2,0
4,84,39,4969985,11,0,24,3,1
2,36,57,4441227,11,1,6,0,0
4,71,91,7188263,1,0,29,0,1
4,26,57,2639105,5,0,30,4,0
1,46,37,2566760,19,0,11,1,0
1,98,7,2980220,14,0,8,1,0
1,5,5,4744376,14,0,33,2,0
1,59,79,8009197,21,1,2,3,0
1,44,51,7119603,15,0,36,2,0
3,43,8,839843,23,1,49,3,1
1,82,56,1169027,2,0,27,3,0
2,17,73,5612753,0,1,45,3,0
3,64,11,9148250,20,0,21,3,0
1,24,22,5748836,11,0,25,3,0
3,26,98,3371790,14,0,18,4,0
1,6,99,7886794,18,0,20,4,0
1,43,77,8658906,5,1,36,3,0
3,28,11,2072567,18,0,9,0,0
2,94,60,5920304,16,0,15,0,0
3,43,96,8116591,8,0,23,1,0
3,35,15,6515950,20,0,24,3,0
3,18,38,3306198,12,0,25,0,0
1,5,1,8752418,14,0,0,1,0
1,24,46,5237107,15,0,3,0,0
3,30,88,5826839,12,0,36,1,0
3,8,43,1048018,1,0,42,2,0
4,83,22,9890107,1,0,13,0,1
2,73,3,6276172,10,0,23,3,0
2,36,14,2781334,15,0,26,3,0
3,26,2,3445744,16,0,42,4,0
2,12,61,5199343,2,1,26,2,0
4,40,32,2172200,22,1,23,2,1
3,65,38,8549020,0,0,39,0,0
2,84,97,2703045,17,0,0,1,0
3,96,46,6668210,13,1,38,4,1
3,23,42,7999894,21,0,12,2,0
1,43,6,7334174,8,0,19,2,0
4,97,41,7912340,8,0,37,3,0
2,59,25,7601687,11,1,35,3,0
3,8,98,1138119,23,1,11,1,1
2,1,11,7098859,2,0,4,0,0
3,55,41,1054613,1,1,4,1,0
2,29,71,5139169,0,1,16,0,0
1,21,57,2062199,8,0,37,4,0
4,74,46,7087515,12,1,9,2,1
1,80,86,414809,20,1,15,1,0
2,99,48,575985,15,0,23,0,0
4,12,63,3693165,18,0,28,4,0
4,70,39,6263672,9,0,13,1,0
2,15,10,8929633,4,0,9,2,0
2,96,85,1116430,13,1,28,4,0
2,44,70,3126663,14,0,27,3,0
1,64,65,2646754,2,0,16,2,0
2,10,98,8161751,8,1,4,3,0
3,69,59,947955,0,1,1,4,1
3,19,78,5051699,0,0,35,4,0
3,98,36,9081339,18,1,49,3,1
3,62,27,9619492,5,0,39,0,0
1,100,73,6388626,10,0,45,4,0
2,89,55,3404472,17,0,44,1,0
1,11,70,5457373,13,0,38,1,0
2,61,95,8124140,15,0,8,4,0
2,93,81,7155492,0,0,35,3,0
3,91,53,9606354,23,0,4,3,0
2,90,60,3828961,9,1,14,2,0
1,41,61,3875804,9,0,8,3,0
1,82,36,2834643,12,0,24,0,0
3,68,85,3370058,0,1,49,0,0
2,57,27,9421553,2,0,27,1,0
1,4,41,9309862,13,0,26,4,0
1,26,28,1985686,20,0,45,1,0
3,27,16,4473267,15,1,46,4,1
1,25,35,8548435,22,1,32,1,0
3,90,36,9462995,19,0,32,4,1
3,48,56,6742794,5,0,37,4,1
1,20,99,3445569,0,0,7,1,0
1,0,19,585484,19,1,3,2,0
4,91,57,8409264,23,0,47,0,1
2,57,85,4351758,4,0,42,3,0
2,78,33,2157726,7,0,35,0,0
3,54,23,9897660,11,0,42,3,0
4,80,63,8446137,0,1,30,4,1
4,25,70,2774324,12,0,9,1,0
3,83,96,3252469,8,1,48,1,1
2,24,22,3152888,19,0,40,3,0
1,76,67,1489875,23,0,41,1,0
3,32,99,1712427,7,0,7,1,0
2,88,80,7143388,12,0,29,1,0
2,71,59,1901444,1,0,13,0,0
4,68,25,5649776,14,1,44,1,0
1,5,17,7506405,13,0,34,2,0
2,22,39,4342565,18,1,45,3,0
1,29,77,2161522,8,0,45,0,0
2,77,92,7967596,18,0,2,0,0
1,53,75,3404469,13,0,28,4,0
1,86,74,2435562,7,1,15,4,0
1,10,39,9779694,4,0,9,1,0
2,30,24,7571404,6,0,3,0,0
3,5,38,1053858,3,0,49,0,0
2,10,88,4704711,7,0,3,1,0
4,76,97,7355483,3,0,1,3,1
2,11,81,9061873,20,0,10,0,0
1,65,57,5997895,0,0,14,4,0
3,52,44,8277532,7,0,10,1,0
1,98,36,4866556,6,0,22,0,0
4,35,99,6001854,10,1,37,4,0
1,16,70,1644590,20,0,49,2,0
4,27,80,8242426,15,0,29,0,0
1,91,45,1471481,21,0,49,1,0
3,21,92,9468788,16,1,0,4,0
2,6,96,3260479,23,0,44,0,0
4,14,26,8745279,4,0,32,4,1
1,95,11,427531,6,1,44,1,1
2,10,52,7634211,9,1,36,0,0
4,23,25,7845514,12,1,22,1,0
2,66,31,6570420,19,1,48,3,0
2,29,85,9656261,14,1,47,0,0
3,69,45,308820,5,0,17,0,0
2,65,67,312058,1,0,9,4,0
2,60,76,3801823,3,1,16,0,0
2,77,40,4218272,20,1,6,3,0
4,40,46,5607422,13,0,14,4,0
1,81,54,6415914,23,0,26,4,0
1,50,41,1871505,14,0,8,2,0
4,43,89,8789065,13,1,20,0,0
3,94,81,6498536,3,0,36,2,1
2,12,38,6260518,5,0,28,3,0
2,89,36,9105607,6,0,41,0,0
1,11,83,541345,12,1,44,2,0
1,81,44,6603300,16,0,32,2,0
2,8,57,2635872,16,0,5,4,0
2,84,66,7883273,3,0,24,2,0
2,47,81,4450343,18,0,34,2,0
1,48,30,8504472,19,0,16,0,0
4,52,10,7019048,12,0,43,0,0
4,55,99,5272227,8,0,26,4,0
3,39,61,8835282,1,0,42,0,0
2,23,63,4410569,19,0,39,3,0
2,97,36,8870320,22,0,24,4,0
3,71,54,2210498,17,1,11,3,1
3,32,97,2013748,23,0,42,0,0
1,22,65,4173970,19,0,36,0,0
4,76,82,1038617,16,0,39,4,1
3,53,4,7183669,6,0,43,2,1
4,52,55,8227890,16,0,37,1,0
3,48,54,1683950,9,0,40,1,0
2,77,91,3901848,13,0,24,0,0
2,77,89,3779017,11,0,48,3,0
4,79,64,8691757,11,0,1,4,0
3,48,92,5687857,16,1,0,2,0
1,59,22,1504139,18,0,49,0,0
1,89,25,728487,22,0,2,3,0
2,89,81,9496119,13,0,28,0,0
3,64,59,7398359,16,0,13,1,0
4,31,57,5344695,14,0,44,0,0
1,78,54,5587509,20,0,33,3,0
2,20,44,3022307,5,1,21,1,0
2,17,52,5340076,18,0,35,0,0
4,93,76,8496004,21,0,14,1,1
3,59,16,1058946,19,0,36,4,0
3,12,16,7965395,5,0,9,3,0
2,23,81,399993,5,0,8,3,0
2,29,55,1704049,3,0,49,4,0
1,1,61,6956530,0,0,34,3,0
1,82,95,1707346,18,1,45,3,0
3,24,79,4793364,10,0,41,0,0
3,49,77,7626784,6,0,16,2,0
4,13,40,951998,1,0,46,0,0
4,5,91,9084953,3,0,17,4,1
2,75,21,9010539,5,0,48,4,0
3,83,66,3898459,4,1,24,2,1
4,86,8,7440401,21,0,34,0,1
3,29,71,1377189,20,0,15,0,0
1,29,10,7537690,8,0,44,0,0
2,37,57,2260401,10,0,48,1,0
1,57,4,760780,17,0,24,1,0
4,93,43,1561523,19,0,15,0,1
2,40,99,5300961,16,0,40,1,0
1,93,63,4020547,12,0,23,0,0
3,56,43,7392786,22,0,11,4,0
2,35,67,9962264,16,1,34,0,0
2,63,82,1059943,21,0,8,1,0
1,97,51,6563147,9,1,47,2,0
3,15,56,8226153,17,0,36,4,0
2,87,43,1601432,16,0,31,3,0
3,77,24,325051,11,0,18,2,1
2,89,96,6093691,14,1,21,2,0
3,71,34,6250227,18,1,44,3,1
2,13,59,4853802,21,0,33,4,0
2,30,2,5385346,14,1,18,3,0
3,65,2,9083063,12,0,49,4,0
2,67,10,9876532,6,0,11,4,0
1,64,23,8191528,10,0,17,4,0
1,54,15,6568805,7,0,4,2,0
3,83,76,1625464,19,0,25,4,0
2,77,17,1406246,15,0,26,3,0
3,39,82,7465622,23,0,19,2,1
1,24,14,6993865,22,0,7,4,0
1,24,81,2642873,10,0,15,1,0
1,2,79,4440132,23,0,1,1,0
2,68,76,8333130,4,0,44,4,0
2,25,16,2812833,6,0,0,1,0
2,39,32,5364365,15,1,4,0,0
2,37,23,215592,15,1,30,2,0
4,37,34,8964201,19,0,22,0,0
2,67,98,455241,16,0,20,2,0
2,6,16,4340283,18,0,11,3,0
3,93,34,2937641,14,0,3,1,1
2,29,71,4076153,14,0,36,1,0
2,18,33,4280242,19,1,10,1,0
3,34,68,5573642,20,1,41,4,1
4,32,43,3742626,14,1,39,2,0
1,32,64,6702295,2,0,8,4,0
4,77,71,8842101,11,0,25,1,0
2,37,18,4696384,5,0,38,3,0
1,9,68,5636555,19,0,26,1,0
2,56,61,7466940,4,0,28,4,0
4,27,75,9297710,10,0,45,1,0
2,77,20,8977933,22,0,42,0,0
2,99,11,4049474,11,0,49,0,0
2,37,79,3070828,6,0,24,4,0
1,15,46,3817935,8,0,17,0,0
1,20,64,2774537,17,0,29,2,0
1,91,81,9272955,13,0,7,2,0
1,96,98,1448176,3,0,1,4,0
1,5,76,5028803,7,0,21,0,0
1,40,28,1321918,15,0,20,2,0
2,14,48,5932686,3,0,38,0,0
1,2,35,1582246,18,1,25,1,0
2,42,8,7888440,5,0,28,0,0
3,46,91,9865865,18,1,4,0,0
2,98,22,6580550,14,0,45,4,0
3,13,24,4449120,11,0,13,1,0
1,65,66,881936,11,0,34,2,0
1,28,95,4472183,1,0,5,2,0
1,3,86,5126031,8,0,22,0,0
1,25,64,2724173,2,0,16,3,0
1,11,65,9215026,0,1,23,3,0
1,1,14,9460593,13,0,39,2,0
1,16,25,3606877,12,0,28,0,0
1,34,3,8992883,4,0,29,0,0
2,9,5,2563426,6,0,23,1,0
1,85,65,452342,13,0,34,4,0
2,42,54,4705011,15,0,46,3,0
2,20,19,2618448,17,0,36,0,0
3,14,97,5979364,13,0,1,2,0
1,34,54,438343,0,1,20,3,0
3,84,94,1981842,5,0,39,4,1
2,84,76,545219,20,0,40,0,0
1,84,10,6220686,9,0,4,3,0
3,59,98,6366962,5,0,34,0,0
4,43,16,5877033,1,1,43,4,1
1,95,46,3476923,6,0,34,1,0
1,4,29,1307090,16,1,18,3,0
3,72,15,68866,23,0,15,4,1
3,17,48,6151491,13,0,24,1,0
1,20,11,2721418,22,0,15,1,0
1,71,34,4904844,6,1,30,4,1
2,97,36,961329,21,1,32,2,0
2,73,30,3097937,20,0,16,4,0
2,50,99,3816352,8,0,20,0,0
2,40,73,3782914,18,0,34,2,0
2,23,82,435938,20,0,48,1,0
3,23,19,3835968,23,0,22,3,1
1,95,68,3360930,10,0,48,1,0
1,96,70,9256099,2,0,15,3,0
3,37,33,9496614,22,0,37,3,1
3,43,96,2414911,3,1,49,4,1
2,56,80,5212428,4,1,13,4,0
2,58,75,9738565,3,0,39,1,0
1,33,22,1588661,12,1,40,4,0
2,74,36,3461729,8,0,49,1,0
2,94,23,7021680,22,1,32,4,1
1,81,63,1378281,13,0,20,4,0
1,22,26,3800612,15,0,16,3,0
2,85,60,9007802,21,0,3,2,0
1,42,95,2903060,5,1,15,4,0
2,81,93,3865235,9,1,29,4,0
1,39,5,5553634,22,0,43,1,0
2,46,54,1748166,20,0,44,3,0
1,40,38,8954602,12,0,33,3,0
3,46,62,5085111,2,1,21,2,1
2,19,25,1005163,10,0,43,2,0
3,76,98,7513024,2,0,41,2,1
3,64,12,675235,6,0,28,4,0
2,67,22,7405776,9,0,46,1,0
1,23,9,8015092,0,0,4,0,0
2,99,84,2300993,3,1,0,1,0
2,35,29,2230115,7,0,39,3,0
3,44,44,9763518,19,0,24,2,0
2,1,93,1443831,16,1,49,0,0
1,27,27,1330393,4,0,5,3,0
1,25,55,2139564,16,0,22,2,0
2,22,81,1284597,8,0,32,0,0
2,78,5,1168025,7,0,13,1,0
2,35,52,159508,6,0,41,3,0
2,90,13,1187834,4,1,35,4,1
4,5,42,9054487,3,0,17,0,0
2,34,15,9193070,22,0,39,0,0
1,37,79,2436187,2,0,43,1,0
1,34,18,6109176,7,0,9,1,0
1,99,50,4985994,4,0,44,3,0
1,73,2,2339482,4,0,38,4,0
1,93,87,3914988,16,1,48,2,0
1,52,13,6074550,14,0,11,0,0
1,37,68,6826491,7,0,37,0,0
1,92,47,6453445,6,0,22,3,0
3,58,89,4748969,16,0,6,2,0
1,42,75,9036922,11,0,44,2,0
2,3,50,9744284,3,0,45,2,0
2,4,12,4300321,19,1,24,3,0
4,67,13,6267704,17,0,12,0,0
1,99,9,8906242,3,0,37,1,0
2,44,59,7101445,9,1,18,0,0
4,79,45,5211749,2,0,44,1,1
3,24,70,4751884,4,0,21,1,0
3,77,43,7097379,11,0,40,3,1
1,10,74,3596238,22,1,10,2,0
1,28,23,8878368,4,1,41,3,0
3,33,79,3080296,4,0,2,1,0
4,85,45,2320696,3,0,18,0,1
2,13,23,548576,5,0,26,1,0
2,23,34,1413940,9,0,6,3,0
1,58,16,45091,5,0,36,0,0
3,38,63,1690486,21,0,26,2,0
1,25,51,2569240,21,1,46,3,0
2,42,32,496676,0,0,33,4,0
2,35,38,5713258,15,0,10,1,0
2,38,56,2035117,10,1,37,2,0
1,60,69,9881093,5,0,4,2,0
1,15,17,9257426,19,0,6,0,0
2,58,86,6196096,17,1,35,3,0
1,95,39,1921222,5,0,4,1,0
